,sex,age_cat,race,priors_count,c_charge_degree,two_year_recid
1,Male,25 - 45,1,0,F,1
6,Male,25 - 45,0,14,F,1
8,Female,25 - 45,0,0,M,0
9,Male,Less than 25,0,1,F,1
10,Male,25 - 45,0,0,F,0
11,Male,Less than 25,1,3,M,1
12,Female,25 - 45,0,0,M,0
13,Male,25 - 45,1,,F,0
14,Female,Greater than 45,0,1,F,1
15,,25 - 45,1,7,F,1
17,Male,25 - 45,1,3,F,0
18,Male,25 - 45,0,6,F,1
19,Male,25 - 45,0,5,F,1
20,Male,Greater than 45,1,,F,1
22,Male,25 - 45,0,0,M,1
23,Female,Less than 25,0,0,F,0
25,Male,25 - 45,0,1,M,0
28,Female,25 - 45,0,3,F,0
29,Male,25 - 45,1,5,F,1
31,Male,25 - 45,0,9,F,1
32,Male,25 - 45,1,4,F,1
33,Male,Greater than 45,0,0,F,0
35,Male,25 - 45,0,6,M,0
36,Female,25 - 45,0,4,M,1
37,,Less than 25,0,1,M,1
38,Male,25 - 45,1,21,F,1
39,Male,25 - 45,0,0,M,0
40,Female,Less than 25,1,2,F,0
41,Male,Greater than 45,1,2,M,0
42,Male,25 - 45,0,2,M,1
43,Female,Greater than 45,1,7,F,0
45,Male,25 - 45,0,9,M,1
46,Male,25 - 45,1,13,F,1
47,Male,Greater than 45,0,0,M,0
48,Male,25 - 45,1,4,M,1
49,Male,25 - 45,1,0,F,0
50,Male,25 - 45,0,1,F,1
52,Male,Greater than 45,0,20,F,1
55,Male,Less than 25,1,2,F,1
58,,Greater than 45,0,8,F,0
59,Male,25 - 45,1,,F,0
60,,Greater than 45,1,10,M,1
61,Male,25 - 45,1,15,F,1
62,Male,25 - 45,0,4,M,1
63,Male,Less than 25,1,1,F,1
67,Male,25 - 45,1,,F,1
73,Male,25 - 45,1,5,F,1
74,Male,25 - 45,0,1,F,1
76,Male,Less than 25,1,1,M,1
77,,Less than 25,0,0,F,0
78,,25 - 45,1,1,F,1
79,Male,25 - 45,0,,F,1
80,Male,25 - 45,1,0,F,0
81,Male,25 - 45,1,1,M,0
86,,Less than 25,1,2,F,1
87,Male,Less than 25,1,,M,1
88,Female,25 - 45,1,1,M,0
89,Male,25 - 45,1,9,F,1
90,Male,25 - 45,0,7,F,1
92,Male,25 - 45,0,9,F,1
93,Male,Greater than 45,1,12,M,0
94,Female,Less than 25,0,0,F,0
95,Male,25 - 45,0,2,F,1
96,Male,Greater than 45,0,3,F,0
97,Female,Greater than 45,0,,M,0
