,id,sex,age_cat,race,priors_count,c_charge_degree,two_year_recid
1,3,0,0,1,0,1,1
2,4,0,2,1,4,1,1
6,8,0,0,0,14,1,1
8,10,1,0,0,0,0,0
9,13,0,2,0,1,1,1
10,14,0,0,0,,1,0
12,16,1,0,0,0,0,0
13,18,0,0,1,0,1,0
14,19,1,1,0,1,1,1
17,22,0,0,1,3,1,0
18,23,0,0,0,6,1,1
19,24,0,0,0,5,1,1
22,27,0,0,0,0,0,1
23,28,1,2,0,0,1,0
25,32,,0,0,1,0,0
27,37,0,0,1,8,1,1
28,38,,0,0,3,1,0
30,40,0,0,1,0,1,1
31,41,0,0,0,9,1,1
33,45,0,1,0,0,1,0
35,51,0,0,0,6,0,0
36,52,1,0,0,4,0,1
37,53,0,2,0,1,0,1
38,54,,0,1,21,1,1
39,55,0,0,0,0,0,0
40,56,1,2,1,2,1,0
41,57,0,1,1,2,0,0
42,59,0,0,0,2,0,1
43,61,,1,1,7,1,0
44,64,0,0,1,,1,1
45,66,0,0,0,9,0,1
46,67,0,0,1,13,1,1
47,68,0,1,0,0,0,0
49,70,0,0,1,0,1,0
50,71,0,0,0,1,1,1
52,75,,1,0,20,1,1
55,80,0,2,1,2,1,1
58,85,0,1,0,8,1,0
61,90,0,0,1,15,1,1
62,91,0,0,0,4,0,1
64,95,0,2,1,2,1,1
65,96,0,0,1,,1,1
67,98,0,0,1,6,1,1
69,100,1,1,1,0,0,0
74,108,0,0,0,1,1,1
75,111,0,0,1,2,1,0
77,114,0,2,0,0,1,0
78,115,1,0,1,1,1,1
79,116,0,0,0,,1,1
80,119,0,0,1,0,1,0
81,120,0,0,1,1,0,0
84,128,0,0,1,14,1,1
88,136,1,0,1,1,0,0
89,137,0,0,1,9,1,1
90,138,0,0,0,7,1,1
92,142,0,0,0,9,1,1
93,143,0,1,1,12,0,0
94,145,1,2,0,0,1,0
95,146,,0,0,,1,1
96,147,0,1,0,3,1,0
97,148,1,1,0,0,0,0
99,151,,2,1,1,0,1
100,152,0,2,1,1,1,0
102,154,1,0,0,0,1,1
103,156,0,2,0,8,1,1
104,157,0,0,0,0,1,0
105,158,0,0,0,0,0,0
106,159,1,0,0,1,1,0
108,163,0,0,0,1,1,0
109,166,0,2,1,3,1,1
110,169,0,0,0,5,0,1
111,171,,0,0,0,1,0
114,175,0,0,0,1,1,1
115,176,,0,1,10,1,1
117,178,0,0,1,28,1,1
118,180,0,0,1,,0,0
120,183,0,0,0,,1,1
123,189,0,1,0,3,0,0
125,192,1,1,0,2,0,0
126,193,0,2,0,4,1,1
127,194,0,0,0,6,1,0
128,195,,0,0,2,1,0
129,197,0,0,0,1,0,0
